City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
147,kodiak,57.79,-152.4072,-2.27,64,0,3.09,US,1702343553
148,tvoroyri,61.5556,-6.8111,7.32,75,100,5.84,FO,1702343554
149,geidam,12.897,11.9304,16.45,29,0,4.12,NG,1702343555
150,bilibino,68.0546,166.4372,-20.63,95,100,1.49,RU,1702343555
151,hermanus,-34.4187,19.2345,16.42,78,100,4.38,ZA,1702343556
152,jamestown,42.097,-79.2353,0.77,78,100,3.6,US,1702343389
153,konarka,19.9,86.1167,14.22,56,0,3.1,IN,1702343556
154,punta arenas,-53.15,-70.9167,10.06,71,75,5.14,CL,1702343557
155,bemidji,47.4736,-94.8803,-4.5,91,0,6.69,US,1702343557
156,yemva,62.59,50.8594,-14.97,93,100,5.61,RU,1702343558
157,huarmey,-10.0681,-78.1522,20.41,85,11,3.39,PE,1702343558
158,yangambi,0.8102,24.4336,21.84,95,99,0.35,CD,1702343079
159,merizo village,13.2658,144.6691,31.31,83,19,6.56,GU,1702343559
160,caleta de carquin,-11.0925,-77.6267,20.26,85,35,3.9,PE,1702343559
161,tadine,-21.55,167.8833,25.48,60,75,5.97,NC,1702343560
162,vernon,50.2581,-119.2691,2.64,88,66,0.86,CA,1702343363
163,bahia honda,22.9036,-83.1592,21.33,71,83,6.18,CU,1702343560
164,champerico,14.3,-91.9167,27.66,72,99,1.67,GT,1702343093
165,hartha,51.1,12.9667,7.19,86,100,6.86,DE,1702343561
166,ilulissat,69.2167,-51.1,2.01,64,100,6.17,GL,1702343561
167,atafu village,-8.5421,-172.5159,28.77,80,100,10.57,TK,1702343561
168,antsiranana,-12.2787,49.2917,25.4,82,100,5.1,MG,1702343078
169,queenstown,-31.8976,26.8753,15.35,73,0,2.35,ZA,1702343093
170,macau,22.2006,113.5461,24.89,88,0,3.09,MO,1702343397
171,ponce,18.073,-66.6185,25.34,82,7,2.69,PR,1702343340
172,kapuskasing,49.4169,-82.4331,-7.49,88,100,3.69,CA,1702343563
173,moyale,3.5167,39.0584,20.21,60,100,2.22,KE,1702343563
174,manicore,-5.8092,-61.3003,22.58,99,100,1.08,BR,1702343564
175,pangody,65.85,74.4859,-27.2,88,100,5.49,RU,1702343094
176,videira,-27.0083,-51.1517,16.87,97,0,1.66,BR,1702343564
177,ciudad lazaro cardenas,17.9583,-102.2,26.19,70,6,1.82,MX,1702343327
178,nikolayevsk-on-amure,53.1406,140.73,-22.13,80,5,2.51,RU,1702343565
179,aldinga beach,-35.2793,138.4604,23.48,88,100,5.99,AU,1702343565
180,ust-nera,64.5667,143.2,-20.31,98,100,3.74,RU,1702343566
181,lakheri,25.6667,76.1667,14.49,49,0,1.17,IN,1702343566
182,east london,-33.0153,27.9116,19.1,87,60,2.83,ZA,1702343566
183,vorgashor,67.5833,63.95,-16.88,91,100,6.66,RU,1702343567
184,lethem,3.3803,-59.7968,28.56,59,100,5.53,GY,1702343567
185,nadi,-17.8,177.4167,31.0,48,40,9.26,FJ,1702343567
186,arteche,12.2645,125.4048,27.13,87,25,3.15,PH,1702343568
